"Société de Zofingue"	"Zofingue, Genève"
"Orchestre des jeunes"	"Orchestre des jeunes du Conservatoire de Lausanne"
"Orchestre des Jeunes"	"Orchestre des jeunes du Conservatoire de Lausanne"
"Orchestre des Jeunes du Conservatoire"	"Orchestre des jeunes du Conservatoire de Lausanne"
"Orchestre des concerts symphoniques"	"Orchestre des concerts symphoniques, Genève"
"Société des Concerts d'Été"	"Orchestre des concerts d'été, Genève"
"Orchestre des Concerts d'Abonnement"	"Orchestre des concerts d'abonnement, Genève"
"Orchestre des concerts d'abonnement"	"Orchestre des concerts d'abonnement, Genève"
"Orchestre des concerts classiques"	"Orchestre des concerts classiques, Genève"
"Orchestre de Saint-Jean"	"Orchestre de Saint-Jean, Genève"
"Orchestre de Radio Suisse Romande"	"Orchestre de Radio Suisse Romande, Genève"
"Orchestre Radio Suisse Romande"	"Orchestre de Radio Suisse Romande, Genève"
"Orchestre de musiciens lausannois"	"Orchestre de musiciens lausannois, Lausanne"
"Orchestre de la Ville"	"Orchestre de la Ville de Genève"
"Orchestre municipal de la Ville de Genève"	"Orchestre de la Ville de Genève"
"Orchestre de la Suisse Romande"	"Orchestre de la Suisse Romande, Genève"
"Société des grands concerts"	"Orchestre de la Société des grands concerts de Lyon"
"Orchestre de la Scala de Milan"	"Orchestre de la Scala, Milano"
"Orchestre du théâtre de la Scala de Milan"	"Orchestre de la Scala, Milano"
"Orchestre de la Julliard School of Music"	"Orchestre de la Julliard School of Music, New York"
"Orchestre de l'Opéra de Dresde"	"Orchestre de l'Opéra, Dresden"
"Orchestre de l'HEMU"	"Orchestre de l'HEMU, Lausanne"
"Orchestre de cordes du Conservatoire"	"Orchestre de cordes du Conservatoire, Genève"
"Orchestre de M. Aug. Koch de Muinch"	"Orchestre de Aug. Koch, München"
"Orchestre D'Alessandro"	"Orchestre d'Alessandro"
"Colonne et son orchestre de Paris"	"Orchestre Colonne, Paris"
"Orchestre Colonne"	"Orchestre Colonne, Paris"
"Orchestre Colonne (du cercle d'Aix-les-Bains)"	"Orchestre Colonne, Aix-les-Bains"
"Orchestre du cercle d'Aix-les-Bains"	"Orchestre Colonne, Aix-les-Bains"
"Orchestre Billy-Mac"	"Orchestre Billy-Mac, Genève"
"Orchestre Beau-Rivage"	"Orchestre Beau-Rivage, Genève"
"Orchestre a Cordes"	"Orchestre à cordes, Genève"
"Ondine genevoise"	"Ondine genevoise, Genève"
"Olivet-Décompoix, A. (Mme)"	"Olivet-Decompoix, A. (Mme)"
"Okromtchedei, G."	"Okromtchedeli, G."
"Okromtchedell, G."	"Okromtchedeli, G."
"Nouvel orchestre"	"Nouvel orchestre, Genève"
"Société des concerts du nouvel orchestre"	"Nouvel orchestre, Genève"
"de Nobert"	"Nobert, de"
"Nieswizski, Léon"	"Nieswicki, Léon"
"Nicole, L."	"Nicole, Louis"
"Nicolaj, B."	"Nicolaj, Bernard"
"Nicoläy, Bernard"	"Nicolaj, Bernard"
"Nicolaiew, Renée"	"Nicolaïew-Leschaut, Renée"
"Nicolaï"	"Nicolai"
"Neeb'scher Maennerchor de Francfort S. Main"	"Neeb'scher Männerchor, Frankfurt am Main"
"Nachèz, Tivadar"	"Nachez, Tivadar"
"Musique ouvrière"	"Musique ouvrière, Genève"
"Musique d'harmonie"	"Musique d'harmonie, Genève"
"La Muse"	"Muse, Genève"
"La Muse de Genève"	"Muse, Genève"
"Muller, Philippe"	"Müller, Philippe"
"Morel, X."	"Morel, Xavier"
"Moog, J."	"Moog, Jean"
"Montobio"	"Montobbio"
"Montandon, G. (Mlle)"	"Montandon, Gabrielle"
"Molnar, Heidi"	"Molnar-Berner, Heidi"
"Molina, O. (Mme)"	"Molina-Fischer, Olga"
"La Mission suisse de l'Himalaya"	"Mission suisse de l'Himalaya"
"Minkof"	"Minkoff"
"Michel, J.-F."	"Michel, Jean-François"
"Michel, Jean-Frnçois"	"Michel, Jean-François"
"Mezö, Làszlo"	"Mezö, Lászlo"
"Meylan, A."	"Meylan, Alphonse"
"Meyer, Cahrlotte"	"Meyer, Charlotte"
"Meyer de Stadelhofen, F."	"Meyer de Stadelhofen, Frédéric"
"Mey, Cèline"	"Mey, Céline"
"Mexin, Anne-Marie"	"Mexin-Goldenhorn, Anne-Marie"
"Métraux, J."	"Métraux, Jean"
"Mestrallet, E."	"Mestrallet, Ernest"
"Meschini, A."	"Meschini, André"
"Mennet-Anne-Marie"	"Mennet, Anne-Marie"
"Mendi, Laura"	"Mendy, Laura"
"Mégros, Julien"	"Mégroz, Julien"
"Mégevand-Montand, B. (Mme)"	"Mégevand-Montant, Berthe"
"Mégevand-Montant, B. (Mme)"	"Mégevand-Montant, Berthe"
"Mégevand, B. (Mme)"	"Mégevand-Montant, Berthe"
"Mégevand, Berthe"	"Mégevand-Montant, Berthe"
"May, Ph."	"May, Philippe"
"Matteï"	"Mattei"
"Mattéï"	"Mattei"
"Massit, L. (Mlle)"	"Massit, Lucie"
"Massenet, J."	"Massenet, Jules"
"La Masse chorale"	"Masse chorale, Genève"
"Mass, Henri"	"Mass, Harry"
"Marx Goldschmidt, Berthe"	"Marx-Goldschmidt, Berthe"
"Marx, Berthe"	"Marx-Goldschmidt, Berthe"
"Martinet, G."	"Martinet, Georges"
"Martin, P."	"Martin, Pauline"
"Martin, Ch."	"Martin, Christian"
"Marteau, H."	"Marteau, Henri"
"Marsilli"	"Marsili"
"Berner Männerchor"	"Männerchor, Bern"
"La Mandolinata"	"Mandolinata de Genève"
"La Mandolinata de Genève"	"Mandolinata de Genève"
"Mandolinata genevoise"	"Mandolinata de Genève"
"Orchestre Mandolinata de Genève"	"Mandolinata de Genève"
"Maîtrises de garçons et de filles du Conservatoire de Lausanne"	"Maîtrises de garçons et de filles du Conservatoire de Lausanne"
"Maîtrise du Conservatoire"	"Maîtrise du Conservatoire de Lausanne"
"Maillard, E."	"Maillard, Emile"
"Magneanat (Mlle)"	"Magnenat (Mlle)"
"Magalli, J."	"Magalli, Julien"
"M.B."	"M. B."
"Harmonie la Lyre"	"Lyre de Genève"
"La Lyre"	"Lyre de Genève"
"La Lyre de Genève"	"Lyre de Genève"
"Lyre de Genève"	"Lyre de Genève"
"La Lyre de Carouge"	"Lyre de Carouge"
"Lyre chorale"	"Lyre chorale, Genève"
"Ludwigg, L."	"Ludwig, L."
"Lubin, G."	"Lubin, Germaine"
"Lopez Cobos, Jesus"	"Lopez Cobos, Jesús"
"Longobardi, Alphonse"	"Longobardi, Alfonso"
"Lombard, J."	"Lombard, Joseph"
"Lombard, Jospeh"	"Lombard, Joseph"
"Litvinne, F."	"Litvinne, Félia"
"Liedertafel"	"Liedertafel, Genève"
"Liedertafel Bern"	"Liedertafel, Bern"
"Liedertafel de Bâle"	"Liedertafel, Basel"
"Liederkranz"	"Liederkranz, Genève"
"Männerchor Liederkranz"	"Liederkranz, Genève"
"Liederkranz-Concordia"	"Liederkranz-Concordia, Genève"
"Lickert, J."	"Lickert, Jules"
"Lévi, I."	"Lévi, Isidore"
"Lerczynska, Séverine"	"Lerczinska, Séverine"
"Lerzinska, Séverine"	"Lerczinska, Séverine"
"Lemerre , X."	"Lemerre, X."
"Lehrergesangverein de Zurich"	"Lehrergesangverein, Zürich"
"Lee, Sookin"	"Lee, Sook-in"
"Le Grand Roy"	"Le Grand'Roy"
"Le Boren, Fernand"	"Le Borne, Fernand"
"Lawton, Clem"	"Lawton, Clem."
"Laurier, J."	"Laurier, Julie"
"Lauber, J."	"Lauber, Joseph"
"Lassueur, Ch."	"Lassueur, Charles"
"Lasueur, Charles"	"Lassueur, Charles"
"Lang, J.-A."	"Lang, J. A."
"Lang,Frieder"	"Lang, Frieder"
"Frères Landolt"	"Landolt (frères)"
"Lamon, A. (Mlle)"	"Lamon, Amélie"
"van Laer"	"Laer, van"
"Van Laer"	"Laer, van"
"Van Leer"	"Laer, van"
"Laederach, W."	"Laederach, Walter"
"Lacroix, J."	"Lacroix, Jean"
"Bruyère, Olga de la"	"La Bruyère, Olga de"
"L*** (Mlle)"	"L. (Mlle)"
"Kuonen, R."	"Kuonen, Romain"
"Kunz, Alex"	"Kunz, Alexandre"
"Kunz, Alex."	"Kunz, Alexandre"
"Krigovsky, Jan"	"Krigovský, Ján"
"Korwin-Szymanowska, S. (Mme)"	"Korwin-Szymanowska, Stanislawa"
"Koller, Ch."	"Koller, Charles"
"Koch, L."	"Koch, Léonard"
"Kling, J."	"Kling, Jean"
"Kisfaludi, Eörs"	"Kisfaludy, Örs"
"Kipnis, Alex"	"Kipnis, Alexandre"
"Ketten, L."	"Ketten, Léopold"
"Ketten, Leopold"	"Ketten, Léopold"
"Ketten, Henry"	"Ketten, Henri"
"Kawamichi Luyet, Hiroko"	"Kawamichi-Luyet, Hiroko"
"Kawamichi, Hiroko"	"Kawamichi-Luyet, Hiroko"
"Kaufmann, G."	"Kaufmann, Georges"
"Karr, I."	"Karr, Isidore"
"Karjinsky"	"Karjinski"
"Kaëmpfe"	"Kaempfe"
"Collège de cordes de la Jeune Philharmonie de Suisse Centrale"	"Junge Philharmonie Zentralschweiz"
"Jodlerclub Alphüttli"	"Jodlerclub Alphüttli, Genève"
"Jodler Alpen-Club"	"Jodler Alpen-Club, Genève"
"Joachim, J."	"Joachim, Joseph"
"Jim-Gérald's"	"Jim-Géralds"
"Jauch, Th."	"Jauch, T."
"Jasinski, Eugène"	"Jasinsky, Eugène"
"Jaques-Dalcroze, N."	"Jaques-Dalcroze, Nina"
"Jaques-Dalcroze, N. (Mme)"	"Jaques-Dalcroze, Nina"
"Jaques-Dalcroze, Émile"	"Jaques-Dalcroze, Emile"
"Jaques, Emile"	"Jaques-Dalcroze, Emile"
"Janet, L."	"Janet, Lambert"
"Jandelli, D."	"Jandelli, Dante"
"Jaggi, M"	"Jaggi, M."
"Jacottet, Edouard"	"Jaccottet, Edouard"
"Jaccottet, Christina"	"Jaccottet, Christiane"
"J. , Marie"	"J., Marie"
"Ivasieff"	"Ivasief"
"Huguenin, Ch."	"Huguenin, Charles"
"Huber, H."	"Huber, Heinrich"
"Hottiger, Jean-Luc"	"Hottinger, Jean-Luc"
"Hostetter, Jacques"	"Hostettler, Jacques"
"Jean-Hort"	"Hort, Jean"
